Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,64.1,54.39,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,73.64,56.48,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,66.63,55.89,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,162.66,165.8,333.55,1,100,46,CNN 16k,IID,CIFAR-10,3135.29,0.2789,0.2535,2.6764,626.76,0.2817,0.2554,2.6693
Client 1,2,64.09,54.88,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,73.44,57.64,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,67.31,55.98,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,159.36,463.49,622.87,1,60,46,CNN 16k,IID,CIFAR-10,2755.42,0.359,0.3436,2.3434,551.84,0.3534,0.3363,2.3683
Client 1,3,65.88,54.34,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,76.15,56.01,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,69.32,57.07,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,160.67,161.59,322.28,1,100,46,CNN 16k,IID,CIFAR-10,2538.1,0.4074,0.3942,2.1537,509.36,0.4032,0.3892,2.1815
Client 1,4,63.9,54.71,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,73.56,57.19,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,70.23,56.39,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,171.67,165.99,337.68,1,100,46,CNN 16k,IID,CIFAR-10,2407.62,0.4397,0.429,2.0247,483.11,0.436,0.4257,2.0455
Client 1,5,63.89,55.45,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,75.34,57.13,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,68.02,56.89,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,157.95,158.79,316.76,1,100,46,CNN 16k,IID,CIFAR-10,2298.84,0.4663,0.4548,1.9357,464.18,0.4613,0.4501,1.9628
Client 1,6,63.08,53.94,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,73.56,56.77,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,67.92,55.72,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,6,159.08,163.99,323.07,1,100,46,CNN 16k,IID,CIFAR-10,2214.69,0.4861,0.479,1.8643,449.91,0.4773,0.4696,1.91
Client 1,7,63.91,53.83,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,73.25,56.26,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,71.62,55.78,,2,200,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,175.27,161.71,336.99,1,100,46,CNN 16k,IID,CIFAR-10,2164.33,0.4995,0.4933,1.8204,442.34,0.4888,0.4824,1.8606
Client 1,8,62.19,53.44,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,72.66,55.94,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,67.41,55.13,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,8,153.98,161.01,315.0,1,100,46,CNN 16k,IID,CIFAR-10,2134.0,0.5086,0.5017,1.7747,438.61,0.4949,0.4876,1.8236
Client 1,9,62.69,53.42,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,74.03,55.85,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,68.7,55.81,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,9,159.55,158.67,318.22,1,100,46,CNN 16k,IID,CIFAR-10,2097.08,0.5188,0.5096,1.757,432.55,0.5019,0.4921,1.8276
