Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,61.56,56.53,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,60.81,57.62,,2,139,39,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,61.83,56.18,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,61.33,55.71,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,60.73,55.79,,2,141,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,48.46,46.88,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,1,49.09,50.24,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,1,45.84,47.55,,1,100,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,45.59,46.65,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,49.08,47.72,197.29,1,100,41,CNN 16k,non-IID,CIFAR-10,2980.57,0.3012,0.1622,2.5891,768.43,0.2031,0.1365,2.9553
Client 1,2,56.41,57.9,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,58.93,56.52,,2,140,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,61.34,57.99,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,62.39,58.02,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,64.96,55.5,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,46.18,52.21,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,2,48.83,51.87,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,2,49.19,49.52,,1,100,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,44.9,48.21,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,45.54,50.48,120.53,1,100,41,CNN 16k,non-IID,CIFAR-10,2441.36,0.4234,0.3095,2.1302,652.67,0.3253,0.2804,2.5127
Client 1,3,62.38,52.53,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,64.61,52.95,,2,141,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,62.9,53.34,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,64.32,53.8,,2,141,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,64.88,55.06,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,45.98,50.53,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,3,47.36,48.18,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,3,48.41,49.2,,1,100,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,45.56,47.86,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,50.16,49.9,119.95,1,100,41,CNN 16k,non-IID,CIFAR-10,2289.6,0.4617,0.3602,2.0262,608.5,0.3698,0.3328,2.3625
Client 1,4,56.8,54.73,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,56.96,54.53,,2,140,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,57.29,55.97,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,57.86,55.3,,2,141,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,57.89,57.94,,2,141,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,46.82,48.01,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,48.09,48.43,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,46.48,50.09,,1,100,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,4,47.94,49.64,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,4,50.12,48.48,115.86,1,100,41,CNN 16k,non-IID,CIFAR-10,2182.15,0.4873,0.3894,1.8858,598.69,0.3907,0.3573,2.2439
Client 1,5,61.35,55.27,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,61.93,53.56,,2,141,40,CNN 16k,IID,CIFAR-10,,,,,,,,
