Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,46.22,46.62,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,44.47,45.78,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,48.0,47.95,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,49.11,47.36,,2,134,62,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,45.52,46.96,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,47.88,47.69,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,46.78,47.18,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,41.98,44.75,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,48.54,48.01,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,47.24,47.31,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,1,48.52,44.68,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,1,48.21,44.04,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 13,1,47.79,44.25,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 14,1,47.65,43.95,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 15,1,47.34,44.69,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 16,1,47.99,44.65,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 17,1,48.23,44.92,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 18,1,48.56,45.05,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 19,1,48.22,44.31,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 20,1,48.37,44.61,109.8,1,100,41,CNN 16k,non-IID,CIFAR-10,1319.39,0.4696,0.2609,1.8702,437.01,0.2648,0.1809,2.7709
Client 1,2,48.6,42.19,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,47.32,41.8,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,46.69,40.86,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,47.88,42.17,,2,133,62,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,49.12,42.35,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,48.29,40.47,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,48.27,43.12,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,46.89,40.25,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,48.24,43.56,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,48.93,41.14,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,2,49.82,40.83,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,2,48.5,42.93,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 13,2,48.54,40.97,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 14,2,48.73,40.09,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 15,2,47.13,43.99,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
