Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.33,0.23,0.0,0.22,,2,105,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.31,0.42,0.0,0.21,18.89,2,105,19,TextMLP,non-IID,AGNEWS,0.58,0.761,0.3649,0.239,3.06,0.25,0.1,1.0
Client 23,2,0.87,0.14,0.0,0.32,,2,127,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.69,0.14,0.0,0.31,27.63,2,132,24,TextMLP,non-IID,AGNEWS,0.77,0.6313,0.5633,0.3991,3.12,0.283,0.1514,0.9694
Client 23,3,0.98,0.21,0.0,0.49,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,0.95,0.18,0.0,0.48,22.28,2,108,24,TextMLP,non-IID,AGNEWS,0.78,0.6506,0.3696,0.4595,3.86,0.301,0.1779,1.1818
Client 23,4,1.36,0.14,0.0,0.52,,2,132,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,1.35,0.14,0.0,0.51,29.78,2,130,25,TextMLP,non-IID,AGNEWS,0.82,0.581,0.5554,0.55,4.85,0.3436,0.2465,1.2345
Client 23,5,1.68,0.14,10.05,0.6,,2,135,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,1.7,0.14,0.0,0.61,30.57,2,131,24,TextMLP,non-IID,AGNEWS,0.7,0.6438,0.6269,0.4439,5.65,0.4284,0.3257,0.9361
Client 23,6,2.31,0.14,12.06,0.77,,2,141,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,2.51,0.14,0.0,0.84,33.64,2,136,25,TextMLP,non-IID,AGNEWS,0.5,0.7754,0.7683,0.2897,6.08,0.5733,0.4973,0.6943
Client 23,7,2.44,0.14,12.46,0.85,,2,142,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,2.53,0.14,0.0,0.82,32.98,2,135,26,TextMLP,non-IID,AGNEWS,0.43,0.8131,0.8094,0.2394,5.89,0.6344,0.5488,0.5426
Client 23,8,3.06,0.14,16.05,1.11,,2,148,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,3.37,0.14,10.72,0.99,37.72,2,138,26,TextMLP,non-IID,AGNEWS,0.4,0.8184,0.8104,0.2376,5.62,0.6226,0.5409,0.6199
Client 23,9,3.14,0.14,15.33,1.06,,2,147,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,3.46,0.14,10.23,1.07,36.94,2,138,26,TextMLP,non-IID,AGNEWS,0.38,0.8365,0.8316,0.2173,5.45,0.6436,0.5618,0.5199
Client 23,10,3.71,0.14,17.18,1.27,,2,147,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,4.02,0.14,11.35,1.24,41.36,2,139,26,TextMLP,non-IID,AGNEWS,0.36,0.8374,0.8339,0.2118,5.4,0.6545,0.5704,0.4918
Client 23,11,3.93,0.14,17.55,1.3,,2,148,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,4.2,0.14,11.47,1.35,42.09,2,140,27,TextMLP,non-IID,AGNEWS,0.35,0.8422,0.8373,0.2038,5.5,0.6533,0.5674,0.5281
Client 23,12,5.28,0.14,16.65,1.55,,2,150,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,4.43,0.14,12.17,1.49,41.19,2,143,27,TextMLP,non-IID,AGNEWS,0.32,0.871,0.8688,0.1758,5.39,0.6615,0.5738,0.5047
Client 23,13,4.91,0.14,18.16,1.6,,2,150,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,13,4.82,0.14,14.53,1.5,42.75,2,145,28,TextMLP,non-IID,AGNEWS,0.34,0.8687,0.8667,0.1793,5.3,0.6613,0.5713,0.5367
Client 23,14,5.19,0.14,16.29,1.78,,2,149,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,14,5.09,0.14,14.8,1.76,40.97,2,146,28,TextMLP,non-IID,AGNEWS,0.34,0.8549,0.8544,0.185,5.28,0.6674,0.5766,0.4961
Client 23,15,5.74,0.14,23.5,1.82,,2,156,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,15,6.01,0.14,16.1,1.87,49.61,2,149,29,TextMLP,non-IID,AGNEWS,0.38,0.8218,0.819,0.22,5.65,0.6518,0.5659,0.5538
