Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.19,0.28,0.0,4.6,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.15,0.34,0.0,4.91,71.51,2,103,21,CNN 16k,non-IID,CIFAR10,1.55,0.4424,0.0843,2.2552,2.97,0.1009,0.0198,2.9218
Client 23,2,1.24,0.1,0.0,4.48,,2,110,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.24,0.1,0.0,4.49,,2,111,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,0.83,0.17,0.0,4.19,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,0.62,0.22,0.0,3.79,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,0.94,0.19,0.0,4.29,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,2,0.67,0.16,0.0,4.12,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,2,1.19,0.27,0.0,4.85,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,2,0.92,0.37,0.0,4.62,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,2,0.82,0.19,0.0,4.83,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,2,0.71,0.4,0.0,4.24,76.88,1,100,17,CNN 16k,non-IID,CIFAR10,1.38,0.4593,0.1902,2.1195,5.41,0.1429,0.0664,3.1992
Client 23,3,3.41,0.2,0.0,6.76,,2,105,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.48,0.19,0.0,6.8,76.32,2,105,24,CNN 16k,non-IID,CIFAR10,1.49,0.4779,0.2079,1.7561,2.86,0.2013,0.1192,3.1336
