Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 11,1,33.36,30.14,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,1,29.17,27.31,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,1,31.18,31.88,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,1,34.58,27.93,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,1,31.13,28.23,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,1,34.95,28.75,68.86,1,100,41,CNN 16k,IID,CIFAR-10,1.58,0.4252,0.4125,2.1563,1.59,0.4212,0.4078,2.1786
Client 11,2,30.02,28.31,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,2,30.41,26.46,,2,141,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,2,31.02,28.92,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,2,30.83,27.94,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,2,31.21,28.68,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,2,30.28,27.81,59.95,1,100,41,CNN 16k,IID,CIFAR-10,1.46,0.4708,0.461,1.9567,1.48,0.4627,0.4529,1.9906
Client 11,3,29.41,27.82,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,3,27.81,26.99,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,3,29.01,30.9,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,3,29.9,27.88,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,3,28.85,29.62,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,3,29.39,28.24,59.92,1,100,41,CNN 16k,IID,CIFAR-10,1.38,0.5007,0.4943,1.8071,1.41,0.4879,0.4809,1.8678
Client 11,4,29.5,27.96,,2,141,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,4,30.32,29.78,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,4,30.1,28.2,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,4,32.1,28.59,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,4,34.96,27.71,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,4,30.4,27.83,62.68,1,100,41,CNN 16k,IID,CIFAR-10,1.31,0.5286,0.5221,1.7126,1.36,0.5098,0.5031,1.8058
Client 11,5,30.1,28.55,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,5,29.87,26.76,,2,142,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,5,31.26,29.06,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,5,30.85,27.8,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,5,30.95,28.29,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,5,29.86,29.93,60.34,1,100,41,CNN 16k,IID,CIFAR-10,1.27,0.5458,0.5414,1.6205,1.33,0.5256,0.5211,1.6992
Client 11,6,30.29,28.04,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,6,32.54,26.48,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,6,32.86,28.77,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,6,30.37,30.78,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,6,31.38,30.79,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,6,30.54,29.55,62.19,1,100,41,CNN 16k,IID,CIFAR-10,1.24,0.5567,0.5525,1.6036,1.32,0.5326,0.5279,1.6981
Client 11,7,28.01,27.7,,2,142,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,7,30.67,30.12,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,7,31.12,28.02,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,7,30.07,28.82,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,7,33.73,29.54,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,7,31.38,29.97,63.28,1,100,41,CNN 16k,IID,CIFAR-10,1.22,0.5646,0.56,1.5669,1.3,0.5347,0.53,1.678
