Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.81,28.3,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,26.72,28.67,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,26.53,28.25,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,28.57,28.49,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,26.5,27.87,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,25.44,27.06,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,25.96,27.9,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,26.78,28.76,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,27.3,27.72,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,26.09,27.55,103.6,2,137,41,CNN 16k,non-IID,CIFAR-10,2872.59,0.3142,0.1354,2.661,866.7,0.1728,0.1003,3.1276
Client 1,2,26.31,27.46,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,26.64,27.88,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,25.7,29.14,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,27.16,28.34,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,27.71,27.17,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,26.91,28.38,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,26.11,28.29,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,26.28,26.79,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,24.54,27.88,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,25.43,28.14,55.52,2,137,41,CNN 16k,non-IID,CIFAR-10,2413.97,0.4344,0.2515,2.1365,789.0,0.274,0.207,2.6868
Client 1,3,26.23,28.53,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,26.12,28.45,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,26.26,27.62,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,27.24,26.72,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,26.12,26.47,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,28.06,28.87,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,26.13,29.15,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,26.89,28.86,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,26.54,28.66,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,24.94,28.46,56.95,2,137,41,CNN 16k,non-IID,CIFAR-10,2130.25,0.499,0.3154,1.8922,719.26,0.3267,0.2634,2.5316
