Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.26,0.0,0.0,24.4,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,27.63,0.0,0.0,25.7,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,27.16,0.0,0.0,24.66,116.26,2,117,21,CNN 64k,non-IID,CIFAR10,1.11,0.5972,0.3985,1.825,2.81,0.3642,0.2805,2.2918
Client 1,2,27.33,0.12,0.0,25.97,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,10.69,0.05,41.24,9.37,,2,154,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,28.15,0.14,0.0,26.63,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,30.51,0.2,0.0,28.87,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,13.94,0.05,35.63,10.83,,1,100,38,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,31.41,0.17,0.0,26.4,94.12,1,100,21,CNN 64k,non-IID,CIFAR10,1.03,0.617,0.4998,1.5328,2.36,0.4287,0.3736,2.0258
Client 1,3,27.38,0.0,0.0,26.53,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,11.7,0.0,0.0,9.59,,2,178,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,29.22,0.0,0.0,27.39,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,15.43,0.0,56.0,10.75,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,15.2,0.0,0.0,12.25,,1,100,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,31.89,0.0,0.0,27.38,82.53,1,100,21,CNN 64k,non-IID,CIFAR10,1.01,0.6187,0.5423,1.5,2.28,0.4648,0.4127,1.8516
