Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.59,28.15,,2,138,47,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,25.87,27.21,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,25.87,27.09,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,25.68,26.83,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,25.11,27.39,56.71,2,137,41,CNN 16k,IID,CIFAR-10,3589.86,0.1555,0.0885,3.4411,718.9,0.1522,0.0858,3.4527
Client 1,2,25.84,26.74,,2,138,47,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,26.59,25.84,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,26.4,27.26,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,25.65,26.89,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,26.76,27.21,53.99,2,136,41,CNN 16k,IID,CIFAR-10,3136.15,0.2679,0.2493,2.5475,625.58,0.2691,0.2518,2.5303
Client 1,3,26.3,28.68,,2,137,47,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,26.12,26.18,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,25.36,26.85,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,26.42,30.15,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,27.49,27.84,56.58,2,137,41,CNN 16k,IID,CIFAR-10,2811.16,0.3344,0.3139,2.4418,560.45,0.3393,0.3185,2.4007
Client 1,4,26.15,27.46,,2,138,47,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,25.77,28.05,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,26.15,27.33,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,25.86,28.19,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,28.93,27.9,56.85,2,136,41,CNN 16k,IID,CIFAR-10,2546.02,0.3999,0.3849,2.194,506.83,0.405,0.3901,2.1749
