Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.34,27.95,,2,137,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,27.38,29.24,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,27.03,28.02,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,26.64,29.51,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,25.98,27.64,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,28.27,28.05,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,27.48,28.3,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,26.82,29.12,,2,136,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,27.29,28.43,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,28.0,27.95,102.02,2,135,41,CNN 16k,non-IID,CIFAR-10,2809.81,0.3529,0.1794,2.2265,795.02,0.2175,0.1488,2.7577
Client 1,2,26.9,28.15,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,27.68,26.91,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,27.65,27.46,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,27.95,28.24,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,27.0,28.06,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,27.99,27.99,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,26.83,27.53,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,26.25,27.27,,2,137,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,26.36,27.66,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,26.81,26.97,56.22,2,136,41,CNN 16k,non-IID,CIFAR-10,2417.29,0.445,0.2987,1.9535,691.52,0.3121,0.2648,2.4868
Client 1,3,26.68,28.18,,2,137,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,27.05,28.4,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,26.37,27.48,,2,137,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,26.53,26.94,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,26.61,28.37,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,27.56,28.99,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,27.31,27.88,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,27.08,27.75,,2,136,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,27.88,28.57,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,27.8,27.57,56.62,2,136,41,CNN 16k,non-IID,CIFAR-10,2239.76,0.4829,0.3412,1.7865,662.72,0.3432,0.3007,2.3609
