Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,29.98,37.21,,2,130,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,31.32,33.37,,2,132,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,28.55,28.38,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,29.16,32.27,,2,133,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,28.65,32.61,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,28.46,30.07,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,29.01,33.08,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,29.54,31.54,78.91,2,133,41,CNN 16k,non-IID,CIFAR-10,2506.94,0.4422,0.1819,2.0686,886.44,0.2042,0.1286,2.9834
Client 1,2,29.31,31.52,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,29.5,28.27,,2,136,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,28.94,29.11,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,27.82,32.37,,2,134,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,28.49,31.05,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,28.06,30.65,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,28.14,29.67,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,28.6,31.25,60.85,2,134,41,CNN 16k,non-IID,CIFAR-10,2053.48,0.5372,0.2695,1.6898,796.67,0.2803,0.2058,2.7109
Client 1,3,30.82,33.18,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,29.46,30.11,,2,136,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,30.13,30.22,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,29.34,30.27,,2,135,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,30.93,30.67,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,30.84,29.14,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,30.17,29.88,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,30.42,29.26,64.08,2,135,41,CNN 16k,non-IID,CIFAR-10,1896.65,0.5702,0.3193,1.5656,748.77,0.3176,0.2544,2.5659
Client 1,4,30.88,33.51,,2,133,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,32.53,35.32,,2,131,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,31.74,32.58,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,32.48,33.62,,2,132,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,31.69,32.02,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,33.17,33.9,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,4,30.87,31.98,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,4,33.14,31.0,67.87,2,133,41,CNN 16k,non-IID,CIFAR-10,1781.25,0.5972,0.3539,1.4646,698.81,0.3496,0.2888,2.4193
Client 1,5,28.7,31.93,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,27.52,28.62,,2,137,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,29.69,31.06,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,28.69,29.92,,2,135,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,28.82,29.35,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,29.37,29.56,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,5,28.67,29.05,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,5,28.95,30.11,60.78,2,135,41,CNN 16k,non-IID,CIFAR-10,1728.49,0.6087,0.3711,1.4115,692.34,0.3604,0.3041,2.3671
