Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.52,28.02,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,25.55,28.44,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,25.81,26.94,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,26.46,27.44,56.23,2,137,41,CNN 16k,non-IID,CIFAR-10,2891.12,0.3394,0.1211,2.157,843.57,0.1613,0.0779,3.0774
Client 1,2,26.25,27.64,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,25.58,28.48,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,26.28,27.13,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,26.14,27.37,54.08,2,137,41,CNN 16k,non-IID,CIFAR-10,2355.42,0.4729,0.2415,1.7972,808.12,0.2636,0.1856,2.7002
Client 1,3,26.02,27.55,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,26.11,27.27,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,26.52,27.13,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,26.11,27.32,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,27.43,28.93,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,27.58,28.47,56.38,1,100,42,CNN 16k,non-IID,CIFAR-10,2082.87,0.5262,0.3059,1.5993,707.45,0.3177,0.2455,2.5066
Client 1,4,27.13,28.07,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,25.95,27.85,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,25.4,26.94,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,24.86,27.4,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,27.37,28.23,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,28.18,26.99,55.61,1,100,42,CNN 16k,non-IID,CIFAR-10,1967.57,0.5514,0.3372,1.5239,690.53,0.3448,0.2771,2.4089
Client 1,5,25.85,27.1,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,26.91,28.04,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,25.92,27.31,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,25.52,27.69,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,26.39,27.64,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,27.74,27.77,55.52,1,100,42,CNN 16k,non-IID,CIFAR-10,1894.49,0.5709,0.3695,1.4786,659.04,0.3671,0.3064,2.3651
Client 1,6,26.97,28.21,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,25.93,27.33,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
