Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,22.44,0.05,21.47,,2,135,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,20.05,0.05,18.54,,2,140,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,23.05,0.05,21.01,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,25.35,0.05,23.47,140.3,1,100,38,CNN 16k,non-IID,CIFAR-10,1.47,0.4281,0.3956,2.1378,2.74,0.3521,0.2977,2.4549
Client 1,2,21.48,0.05,21.65,,2,135,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,19.56,0.05,18.23,,2,140,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,22.77,0.05,21.17,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,24.69,0.05,23.03,75.13,1,100,38,CNN 16k,non-IID,CIFAR-10,1.38,0.4653,0.4353,1.8924,2.41,0.3993,0.3468,2.2689
Client 1,3,22.74,0.05,21.66,,2,135,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,18.98,0.05,18.19,,2,141,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,22.74,0.05,21.49,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,24.04,0.05,23.08,74.4,1,100,38,CNN 16k,non-IID,CIFAR-10,1.31,0.4881,0.4663,1.7683,2.26,0.4165,0.365,2.2535
Client 1,4,22.94,0.05,21.36,,2,135,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,19.64,0.05,19.47,,2,139,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,23.66,0.05,20.93,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,24.75,0.05,23.15,75.85,1,100,38,CNN 16k,non-IID,CIFAR-10,1.26,0.5056,0.4815,1.7532,2.18,0.4318,0.3902,2.1942
Client 1,5,21.48,0.05,21.05,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,20.89,0.05,18.89,,2,139,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,22.2,0.05,21.94,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,25.85,0.05,23.24,77.04,1,100,38,CNN 16k,non-IID,CIFAR-10,1.23,0.5173,0.4925,1.7257,2.15,0.4424,0.3983,2.116
Client 1,6,22.69,0.05,21.63,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,19.4,0.05,18.73,,2,141,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,22.39,0.05,22.17,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,24.73,0.05,22.86,75.76,1,100,38,CNN 16k,non-IID,CIFAR-10,1.2,0.5288,0.5129,1.5673,2.13,0.4566,0.4128,2.0526
